Are.you.self.employed.,How.many.employees.does.your.company.or.organization.have.,Is.your.employer.primarily.a.tech.company.organization.,Is.your.primary.role.within.your.company.related.to.tech.IT.,Does.your.employer.provide.mental.health.benefits.as.part.of.healthcare.coverage.,Do.you.know.the.options.for.mental.health.care.available.under.your.employer.provided.coverage.,Has.your.employer.ever.formally.discussed.mental.health..for.example..as.part.of.a.wellness.campaign.or.other.official.communication..,Does.your.employer.offer.resources.to.learn.more.about.mental.health.concerns.and.options.for.seeking.help.,Is.your.anonymity.protected.if.you.choose.to.take.advantage.of.mental.health.or.substance.abuse.treatment.resources.provided.by.your.employer.,If.a.mental.health.issue.prompted.you.to.request.a.medical.leave.from.work..asking.for.that.leave.would.be.,Do.you.think.that.discussing.a.mental.health.disorder.with.your.employer.would.have.negative.consequences.,Do.you.think.that.discussing.a.physical.health.issue.with.your.employer.would.have.negative.consequences.,Would.you.feel.comfortable.discussing.a.mental.health.disorder.with.your.coworkers.,Would.you.feel.comfortable.discussing.a.mental.health.disorder.with.your.direct.supervisor.s..,Do.you.feel.that.your.employer.takes.mental.health.as.seriously.as.physical.health.,Have.you.heard.of.or.observed.negative.consequences.for.co.workers.who.have.been.open.about.mental.health.issues.in.your.workplace.,Do.you.have.medical.coverage..private.insurance.or.state.provided..which.includes.treatment.of..mental.health.issues.,Do.you.know.local.or.online.resources.to.seek.help.for.a.mental.health.disorder.,If.you.have.been.diagnosed.or.treated.for.a.mental.health.disorder..do.you.ever.reveal.this.to.clients.or.business.contacts.,If.you.have.revealed.a.mental.health.issue.to.a.client.or.business.contact..do.you.believe.this.has.impacted.you.negatively.,If.you.have.been.diagnosed.or.treated.for.a.mental.health.disorder..do.you.ever.reveal.this.to.coworkers.or.employees.,If.you.have.revealed.a.mental.health.issue.to.a.coworker.or.employee..do.you.believe.this.has.impacted.you.negatively.,Do.you.believe.your.productivity.is.ever.affected.by.a.mental.health.issue.,If.yes..what.percentage.of.your.work.time..time.performing.primary.or.secondary.job.functions..is.affected.by.a.mental.health.issue.,Do.you.have.previous.employers.,Have.your.previous.employers.provided.mental.health.benefits.,Were.you.aware.of.the.options.for.mental.health.care.provided.by.your.previous.employers.,Did.your.previous.employers.ever.formally.discuss.mental.health..as.part.of.a.wellness.campaign.or.other.official.communication..,Did.your.previous.employers.provide.resources.to.learn.more.about.mental.health.issues.and.how.to.seek.help.,Was.your.anonymity.protected.if.you.chose.to.take.advantage.of.mental.health.or.substance.abuse.treatment.resources.with.previous.employers.,Do.you.think.that.discussing.a.mental.health.disorder.with.previous.employers.would.have.negative.consequences.,Do.you.think.that.discussing.a.physical.health.issue.with.previous.employers.would.have.negative.consequences.,Would.you.have.been.willing.to.discuss.a.mental.health.issue.with.your.previous.co.workers.,Would.you.have.been.willing.to.discuss.a.mental.health.issue.with.your.direct.supervisor.s..,Did.you.feel.that.your.previous.employers.took.mental.health.as.seriously.as.physical.health.,Did.you.hear.of.or.observe.negative.consequences.for.co.workers.with.mental.health.issues.in.your.previous.workplaces.,Would.you.be.willing.to.bring.up.a.physical.health.issue.with.a.potential.employer.in.an.interview.,Would.you.bring.up.a.mental.health.issue.with.a.potential.employer.in.an.interview.,Do.you.feel.that.being.identified.as.a.person.with.a.mental.health.issue.would.hurt.your.career.,Do.you.think.that.team.members.co.workers.would.view.you.more.negatively.if.they.knew.you.suffered.from.a.mental.health.issue.,How.willing.would.you.be.to.share.with.friends.and.family.that.you.have.a.mental.illness.,Have.you.observed.or.experienced.an.unsupportive.or.badly.handled.response.to.a.mental.health.issue.in.your.current.or.previous.workplace.,Do.you.have.a.family.history.of.mental.illness.,Have.you.had.a.mental.health.disorder.in.the.past.,Do.you.currently.have.a.mental.health.disorder.,Have.you.been.diagnosed.with.a.mental.health.condition.by.a.medical.professional.,Have.you.ever.sought.treatment.for.a.mental.health.issue.from.a.mental.health.professional.,If.you.have.a.mental.health.issue..do.you.feel.that.it.interferes.with.your.work.when.being.treated.effectively.,If.you.have.a.mental.health.issue..do.you.feel.that.it.interferes.with.your.work.when.NOT.being.treated.effectively.,What.is.your.age.,What.is.your.gender.,What.country.do.you.live.in.,What.US.state.or.territory.do.you.live.in.,What.country.do.you.work.in.,What.US.state.or.territory.do.you.work.in.,Which.of.the.following.best.describes.your.work.position.,Do.you.work.remotely.
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,No,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Unsure,Not Affected or Unsure,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,No,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",I don't know,Maybe,No,No,No,Not applicable to me,Not applicable to me,44,male,United States of America,California,United States of America,California,One-person shop,Always
No,More than 1000,No,Yes,No,N/A,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",No,No,"Yes, it has","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,Often,Often,28,Other/No Response,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Support,Never
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,No,I know some,Not applicable to me,N/A,Not applicable to me,Not applicable to me,Unsure,Not Affected or Unsure,Yes,I don't know,I was aware of some,None did,None did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",No,Maybe,Maybe,No,Yes,Not applicable to me,Not applicable to me,39,male,Ireland,Does not live in US,Ireland,Does not work in US,DevOps/SysAdmin,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"Yes, I know several",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Yes,26-50%,Yes,Some did,I was aware of some,None did,None did,Sometimes,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,Yes,Maybe,No,Yes,Rarely,Often,55,female,United States of America,California,United States of America,California,One-person shop,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"Yes, I know several","No, because it would impact me negatively",Yes,"No, because it would impact me negatively",I'm not sure,Yes,26-50%,Yes,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Maybe,Yes,Yes,Yes,Sometimes,Often,33,female,United States of America,Connecticut,United States of America,Connecticut,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Support,Sometimes
No,25-Jun,Yes,Tech Company,No,No,No,No,No,Very easy,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,"Yes, they all did",None of them,No,Yes,Maybe,"No, I don't think they would",Neutral,No,No,No,No,No,No,Not applicable to me,Not applicable to me,19,male,India,Does not live in US,India,Does not work in US,Front-end Developer|Back-end Developer|Support|Supervisor/Team Lead,Always
No,More than 1000,Yes,Tech Company,Yes,No,No,No,Yes,Somewhat easy,Maybe,No,No,No,No,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Maybe,Maybe,No,No,Rarely,Often,40,male,United States of America,California,United States of America,California,Other,Always
No,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Maybe,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Yes,Maybe,No,Yes,Yes,Never,Sometimes,49,female,United States of America,Illinois,United States of America,Illinois,Supervisor/Team Lead,Sometimes
No,25-Jun,Yes,Tech Company,Not eligible for coverage / N/A,N/A,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,No,Not applicable to me,Not applicable to me,27,female,Australia,Does not live in US,Australia,Does not work in US,Front-end Developer,Sometimes
No,More than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,No,No,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,Sometimes,"Yes, all of them",None of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,No,"Yes, it has","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,Sometimes,Often,39,male,United States of America,Missouri,United States of America,Missouri,Designer,Never
No,More than 1000,No,Yes,I don't know,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,I don't know,None of them,Yes,Yes,"No, I don't think it would","No, they do not",Very open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,Never,Sometimes,35,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Support,Never
No,26-100,Yes,Tech Company,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,N/A,I don't know,Maybe,Maybe,No,No,Rarely,Sometimes,35,male,United States of America,Texas,United States of America,Texas,Supervisor/Team Lead|Front-end Developer|Back-end Developer|Dev Evangelist/Advocate,Sometimes
No,26-100,Yes,Tech Company,Yes,I am not sure,No,No,I don't know,Very difficult,Maybe,Maybe,Maybe,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,No,"Yes, it has","Yes, I think they would",Somewhat open,"Yes, I observed",I don't know,Yes,Yes,Yes,Yes,Rarely,Often,42,female,United States of America,Texas,United States of America,Texas,Designer,Sometimes
No,25-Jun,Yes,Tech Company,Yes,Yes,Yes,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Yes,Yes,"No, I don't think it would",Maybe,Somewhat open,"Yes, I observed",No,No,No,No,No,Not applicable to me,Not applicable to me,35,male,Canada,Does not live in US,Canada,Does not work in US,One-person shop,Sometimes
No,100-500,Yes,Tech Company,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Maybe,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",I don't know,Yes,No,Yes,Yes,Sometimes,Often,31,female,United States of America,Texas,United States of America,Texas,Support|Back-end Developer,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,I know some,"Sometimes, if it comes up",No,"Yes, always",No,Yes,1-25%,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,44,Other/No Response,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Always
No,100-500,Yes,Tech Company,Yes,Yes,No,No,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"Yes, they all did","No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat not open,No,I don't know,Maybe,Maybe,No,Yes,Sometimes,Sometimes,39,male,United States of America,Georgia,United States of America,Georgia,Supervisor/Team Lead|DevOps/SysAdmin|Front-end Developer|Back-end Developer,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Unsure,Not Affected or Unsure,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,No,Not applicable to me,Not applicable to me,32,male,Canada,Does not live in US,Canada,Does not work in US,DevOps/SysAdmin|Back-end Developer|Front-end Developer|One-person shop,Always
No,More than 1000,Yes,Tech Company,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,No,Maybe,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,Some did,Some of them,Yes,Maybe,Maybe,Maybe,Very open,Maybe/Not sure,No,No,No,No,No,Not applicable to me,Not applicable to me,45,male,New Zealand,Does not live in US,New Zealand,Does not work in US,Supervisor/Team Lead,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,No,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Unsure,Not Affected or Unsure,Yes,Some did,N/A (not currently aware),None did,Some did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No,No,No,No,Yes,Not applicable to me,Not applicable to me,31,male,United States of America,Texas,United States of America,Texas,Designer,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"No, I don't know any","Sometimes, if it comes up",I'm not sure,"Sometimes, if it comes up",No,Yes,26-50%,Yes,"Yes, they all did",I was aware of some,None did,None did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,Yes,Rarely,Sometimes,47,female,United States of America,New York,United States of America,New York,One-person shop|Designer,Sometimes
No,26-100,Yes,Tech Company,No,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,Sometimes,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Maybe,Maybe,Somewhat not open,No,Yes,Maybe,No,No,Yes,Not applicable to me,Not applicable to me,29,male,United States of America,Maryland,United States of America,Maryland,Back-end Developer,Sometimes
No,25-Jun,Yes,Tech Company,Yes,No,No,No,I don't know,I don't know,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Yes,Yes,No,Yes,Yes,Never,Often,20,male,United States of America,New York,United States of America,Oklahoma,Back-end Developer,Always
No,100-500,Yes,Tech Company,Not eligible for coverage / N/A,N/A,No,I don't know,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,Yes,No,No,No,No,Not applicable to me,Not applicable to me,34,male,United States of America,Washington,United States of America,Washington,Other,Never
No,500-1000,Yes,Tech Company,Not eligible for coverage / N/A,N/A,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,"No, I don't think it would","No, I don't think they would",Very open,No,No,Yes,Yes,Yes,Yes,Rarely,Often,33,Other/No Response,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Never
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,I know some,Not applicable to me,N/A,Not applicable to me,I'm not sure,Yes,26-50%,Yes,"Yes, they all did",I was aware of some,None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,Some did,Some of them,No,No,Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Maybe,Maybe,No,Yes,Sometimes,Often,56,female,United States of America,Florida,United States of America,Florida,One-person shop|Front-end Developer|Back-end Developer,Always
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,No,I know some,Not applicable to me,N/A,Not applicable to me,Not applicable to me,Unsure,Not Affected or Unsure,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them","Yes, at all of my previous employers","Yes, at all of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,N/A,Yes,Yes,Yes,No,No,Rarely,Not applicable to me,35,male,Canada,Does not live in US,Canada,Does not work in US,One-person shop,Sometimes
No,100-500,Yes,Tech Company,Yes,Yes,No,I don't know,I don't know,I don't know,Yes,No,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"Yes, they all did",I was aware of some,None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,31,male,United States of America,California,United States of America,California,DevOps/SysAdmin,Sometimes
No,More than 1000,Yes,Tech Company,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Yes,Yes,I don't know,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"No, it has not","No, they do not",Very open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,Rarely,Often,36,male,United States of America,Texas,United States of America,Texas,Executive Leadership,Sometimes
No,100-500,Yes,Tech Company,Yes,Yes,No,Yes,No,Somewhat easy,Maybe,Maybe,No,No,I don't know,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,"Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,Yes,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,No,Yes,No,No,Not applicable to me,Not applicable to me,30,male,United States of America,California,United States of America,California,Support,Always
No,More than 1000,No,Yes,Yes,I am not sure,No,I don't know,Yes,Neither easy nor difficult,Maybe,No,Maybe,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,Sometimes,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Yes,Maybe,Yes,Yes,Rarely,Sometimes,44,female,United States of America,Texas,United States of America,Texas,Support,Never
No,5-Jan,Yes,Tech Company,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe,Maybe,No,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat not open,No,I don't know,Yes,Yes,Yes,Yes,Rarely,Often,23,female,United States of America,Texas,United States of America,Texas,Front-end Developer|Designer,Sometimes
No,More than 1000,No,Yes,Yes,No,No,Yes,I don't know,I don't know,Maybe,No,No,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,No,No,No,No,No,No,Not applicable to me,Not applicable to me,46,male,United States of America,Missouri,United States of America,Missouri,Support,Never
No,100-500,Yes,Tech Company,Yes,Yes,No,No,I don't know,Very easy,No,No,Yes,Yes,No,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, they all did",Sometimes,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,Never,Sometimes,33,female,United States of America,Maine,United States of America,Maine,Front-end Developer,Always
No,500-1000,No,No,Yes,Yes,No,No,Yes,Somewhat easy,Yes,Maybe,Maybe,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,Yes,Yes,Maybe,Yes,Yes,Rarely,Sometimes,32,female,United States of America,California,United States of America,California,Other,Never
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,No,I know some,"No, because it doesn't matter",N/A,"No, because it would impact me negatively",Not applicable to me,Yes,51-75%,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,No,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",No,Yes,Maybe,Yes,Yes,Sometimes,Sometimes,45,male,Australia,Does not live in US,Other,Does not work in US,DevOps/SysAdmin|Support|Back-end Developer|One-person shop,Sometimes
